node_id:ID,name
a514,"Lincoln, Jeanie Gould"
a515,"Glyn, Elinor"
a516,"Frank, Tenney"
a517,"Lambert Chambers, Mrs."
a518,"Aitken, Edward Hamilton"
a519,"Carrington, Charles"
a520,"Kreisler, Fritz"
a521,"Woodson, Carter Godwin"
a522,"Furse, Katharine"
a523,"Schiller, F. C. S. (Ferdinand Canning Scott)"
a524,"Ward, John"
a525,"De Windt, Harry"
a526,"Burt, Katharine Newlin"
a527,"Tarkington, Booth"
a528,"McCarthy, Justin"
a529,"Worster, W. J. Alexander (William John Alexander)"
a530,"Wilderspin, Samuel"
a531,"Chesnutt, Charles W. (Charles Waddell)"
a532,"Moore, Frederick Ferdinand"
a533,"Jones, Edgar R. (Edgar Rees), Sir"
a534,"Leighton, Robert"
a535,"Abbott, Jacob"
a536,"Kidder, Daniel P. (Daniel Parish)"
a537,"Osborne, David, Mrs. (Fanny)"
a538,"Bourne, John, C.E."
a539,"Banerjea, S. B."
a540,"Carroll, Lewis"
a541,"Wetterau, John Moncure"
a542,"Burritt, Elihu"
a543,"Ruhl, Arthur"
a544,"Foster, William Z."
a545,"Addison, Joseph"
a546,"Aldrich, Mildred"
a547,"Johnson, James Weldon"
a548,"Smith, Elva Sophronia"
a549,"Picton, J. Allanson (James Allanson)"
a550,"Williamson, A. M. (Alice Muriel)"
a551,"Morse, Samuel Finley Breese"
a552,"Morse, Edward Lind"
a553,"Davis, Richard Harding"
a554,"Housman, Laurence"
a555,"Gruelle, Johnny"
a556,"Foster, Frances Smith"
a557,"Millington, W. H."
a558,"Brinton, Daniel G. (Daniel Garrison)"
a559,"Stephen, Leslie"
a560,"Leighton, Alexander"
a561,"Trusta, H."
a562,"Pfeiffer, Ida"
a563,"Barbour, Ralph Henry"
a564,"Cohen, Octavus Roy"
a565,"Fénelon, François de Salignac de La Mothe-"
a566,"Machen, Arthur"
a567,"Cyr, Ellen M."
a568,"Wharton, Edith"
a569,"Harper, Frances Ellen Watkins"
a570,"Cheever, Harriet A. (Harriet Anna)"
a571,"Henty, G. A. (George Alfred)"
a572,"Allston, Washington"
a573,"Allinson, A. R. (Alfred Richard)"
a574,"Porterfield, Allen Wilson"
a575,"Mill, Mrs. (Jean Oliver)"
a576,"Hazlitt, William"
a577,"Tooker, Harriet H."
a578,"Doctorow, Cory"
a579,"Quigley, Dorothy"
a580,"Nevinson, Henry Woodd"
a581,"Ainsworth, William Harrison"
a582,"Stuart, Ruth McEnery"
